주문시간,주문ID,매장코드,상호지점명,태블릿 번호,주문키,주문 유형,장바구니,주문 장바구니 전체 금액,마지막 포스 응답 시간,에러메시지,ip,최종 포스 연동 여부,밴사,포스 응답 소요 시간
2026-04-21 18:13:47,ORDER-267446,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-904592,후결제,"[우동(순한맛) (A0013) (1개) (9000원)], [어묵우동곱빼기(순한맛) (A0041) (1개) (11000원)], [탕수육 (A0030) (1개) (17000원)], [깡새우 (A0033) (1개) (6500원)], [진로이즈백 (00231) (1개) (5000원)], [코카콜라 캔 355ml (00234) (1개) (2000원)]",50500,2026-04-21 18:13:48,,IP-212711,성공,,1
2026-04-21 18:49:13,ORDER-066965,STORE-459717,코덱스커뮤니티(최고점),TABLET-516459,KEY-186460,후결제,[우동(순한맛) (A0013) (1개) (9000원)],9000,2026-04-21 18:49:14,,IP-020538,성공,,1
2026-04-21 19:11:12,ORDER-430877,STORE-459717,코덱스커뮤니티(최고점),TABLET-105430,KEY-761113,후결제,"[우동곱빼기(순한맛) (A0040) (1개) (10000원)], [깡새우 (A0033) (1개) (6500원)], [펩시 캔 355ml (00234) (1개) (2000원)], [탕수육 (A0030) (1개) (17000원)], [진로이즈백 (00231) (1개) (5000원)], [우동(순한맛) (A0013) (1개) (9000원)]",49500,2026-04-21 19:11:13,,IP-020538,성공,,1
2026-04-21 19:11:47,ORDER-430877,STORE-459717,코덱스커뮤니티(최고점),TABLET-105430,KEY-943981,후결제,[깡토마토 (A0034) (1개) (6500원)],6500,2026-04-21 19:11:47,,IP-020538,성공,,0
2026-04-21 19:12:05,ORDER-430877,STORE-459717,코덱스커뮤니티(최고점),TABLET-105430,KEY-397269,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-21 19:12:05,,IP-020538,성공,,0
2026-04-21 19:14:09,ORDER-698423,STORE-459717,코덱스커뮤니티(최고점),TABLET-698701,KEY-633053,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [튀김만두 (A0037) (1개) (8500원)], [어묵우동(중간맛) (A0019) (2개) (10000원)]",33500,2026-04-21 19:14:09,,IP-020538,성공,,0
2026-04-21 19:14:09,ORDER-553679,STORE-459717,코덱스커뮤니티(최고점),TABLET-516459,KEY-861470,후결제,[우동(순한맛) (A0013) (1개) (9000원)],9000,2026-04-21 19:14:10,,IP-020538,성공,,1
2026-04-21 19:52:49,ORDER-990377,STORE-459717,코덱스커뮤니티(최고점),TABLET-494852,KEY-628101,후결제,"[환타파인(캔) (00239) (1개) (2000원)], [펩시 캔 355ml (00234) (1개) (2000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [김치만두 (A0036) (1개) (8000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)], [고기만두 (A0035) (1개) (8000원)]",35000,2026-04-21 19:52:50,,IP-020538,성공,,1
2026-04-21 20:05:56,ORDER-797717,STORE-459717,코덱스커뮤니티(최고점),TABLET-109685,KEY-554465,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [깡토마토 (A0034) (1개) (6500원)]",11500,2026-04-21 20:05:57,,IP-020538,성공,,1
2026-04-21 20:24:49,ORDER-797717,STORE-459717,코덱스커뮤니티(최고점),TABLET-109685,KEY-835645,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-21 20:24:50,,IP-020538,성공,,1
